_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,county
12436000,12482000,12601000,12653800,12713700,12763500,12831950,12852530,12901550,12910410,Illinois
68200,67800,67700,67100,66800,66790,66960,66360,66250,66300,Adams
9600,9500,9500,9300,9200,9330,9120,8880,8920,8500,Alexander
17600,17600,17900,17900,18000,17860,17800,17920,17780,17580,Bond
42100,43600,45300,47100,48900,49320,51440,53050,53630,53480,Boone
6900,6900,6800,6800,6800,6730,6740,6620,6630,6690,Brown
35500,35300,35400,35400,35200,35440,35540,35260,35130,34870,Bureau
5100,5100,5100,5200,5200,5270,5270,5220,5140,5100,Calhoun
16600,16400,16400,16300,16200,16030,15970,15760,15640,15560,Carroll
13700,13600,13600,13800,13800,13770,13770,13800,13780,13510,Cass
179800,179400,181900,184100,184400,186070,187400,188650,188670,190580,Champaign
35400,35300,35400,35300,35500,35320,35260,35020,34880,34470,Christian
17000,17000,17000,16900,17000,17220,17200,17100,17000,16630,Clark
14500,14200,14200,14100,14000,13940,13840,13630,13570,13230,Clay
35500,35600,35800,36000,36100,36120,36490,36280,36420,36100,Clinton
53000,52400,52300,52100,51900,51860,51930,51590,51390,51180,Coles
5375600,5350200,5360000,5339100,5321600,5301120,5292290,5278050,5296240,5287960,Cook
20400,20300,20100,20000,20000,19850,19770,19550,19460,19550,Crawford
11300,11200,11200,11100,11100,11130,11170,11050,11050,10740,Cumberland
89300,90000,91700,93400,95000,96300,98830,100810,101510,101870,DeKalb
16800,16800,16800,16800,16800,16760,16880,16660,16620,16180,DeWitt
19900,19900,20000,19900,20000,19670,19680,19450,19360,19100,Douglas
906600,911800,922000,925000,928600,932230,932990,931310,933090,932640,DuPage
19700,19500,19400,19300,19300,19170,19150,18940,18730,18420,Edgar
7000,6900,6900,6900,6800,6800,6720,6700,6640,6500,Edwards
34300,34400,34600,34700,34800,35130,35010,34700,34620,34670,Effingham
21800,21600,21700,21700,21800,22080,22170,21920,22380,22390,Fayette
14200,14100,14100,14000,14100,14370,14370,14320,14170,14000,Ford
39000,38900,39200,39300,39500,39810,39890,39520,39430,39320,Franklin
38200,37800,37500,37500,37400,37520,37460,37030,36860,36590,Fulton
6400,6300,6200,6200,6200,6090,6110,5990,5910,5620,Gallatin
14700,14600,14700,14700,14600,14410,14250,13980,14050,13960,Greene
37700,38400,39000,39800,41300,41790,43860,45140,45880,46310,Grundy
8600,8400,8300,8200,8300,8130,8150,8000,8020,7960,Hamilton
20100,19900,19700,19500,19300,19190,19100,18860,18640,18270,Hancock
4800,4800,4800,4800,4800,4790,4720,4660,4570,4540,Hardin
8200,8200,8200,8100,8100,8010,7890,7830,7730,7550,Henderson
51100,50700,50600,50800,50600,50350,50190,49960,49760,49680,Henry
31300,30800,30700,30600,30500,30500,30400,30230,30090,29280,Iroquois
59500,58700,58900,59100,59200,59130,58720,57950,57740,56920,Jackson
10100,10100,10100,10000,10000,10010,9940,9840,9820,9610,Jasper
40000,40100,40300,40200,40300,40220,40270,40000,39840,39380,Jefferson
21700,21800,22100,22200,22400,22390,22590,22500,22630,22610,Jersey
22300,22400,22500,22600,22500,22280,22390,22190,22080,22000,Jo Daviess
12900,13200,13000,13200,13200,13040,13280,13210,13020,13310,Johnson
407400,426200,446400,461900,475700,488730,498640,508830,515990,523730,Kane
103900,104300,105200,105800,106500,107400,108920,109930,110590,110620,Kankakee
55200,58300,62300,67100,72600,75590,83970,92770,99050,104400,Kendall
55800,55300,55100,54500,54000,53890,53570,52870,52640,52420,Knox
648200,661100,677300,684300,694000,704090,711270,714140,717680,720820,Lake
111400,111700,111700,111700,112000,111950,112470,112150,112160,110960,LaSalle
