Year,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Cook,Crawford,Cumberland,DeKalb,DeWitt,Douglas,DuPage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo Daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,LaSalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,McDonough,McHenry,McLean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock Island,Saline,Sangamon,Schuyler,Scott,Shelby,St. Clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford
2000,68200,9600,17600,42100,6900,35500,5100,16600,13700,179800,35400,17000,14500,35500,53000,5375600,20400,11300,89300,16800,19900,906600,19700,7000,34300,21800,14200,39000,38200,6400,14700,37700,8600,20100,4800,8200,51100,31300,59500,10100,40000,21700,22300,12900,407400,103900,55200,55800,648200,111400,15400,36000,39600,31200,114500,49000,259100,41700,13200,16000,15100,32900,261700,150800,12500,17000,27800,30600,36600,14300,51200,183200,23100,16400,17300,4400,7300,6100,33900,16100,149100,26700,189000,7200,5500,22800,256200,6300,48900,128500,18300,83800,12900,18700,15200,17100,15400,60700,508200,61300,278800,35500
2001,67800,9500,17600,43600,6900,35300,5100,16400,13600,179400,35300,17000,14200,35600,52400,5350200,20300,11200,90000,16800,19900,911800,19500,6900,34400,21600,14100,38900,37800,6300,14600,38400,8400,19900,4800,8200,50700,30800,58700,10100,40100,21800,22400,13200,426200,104300,58300,55300,661100,111700,15200,35900,39500,31000,113100,48900,260200,41400,13000,16000,15000,32700,270300,152000,12600,17000,28500,30400,36200,14300,51700,181600,23000,16400,17100,4300,7200,6100,33900,16000,148300,26300,189300,7100,5500,22600,256200,6300,48300,128400,18200,83200,12800,18400,15200,17000,15400,60400,536900,61900,279700,35700
2002,67700,9500,17900,45300,6800,35400,5100,16400,13600,181900,35400,17000,14200,35800,52300,5360000,20100,11200,91700,16800,20000,922000,19400,6900,34600,21700,14100,39200,37500,6200,14700,39000,8300,19700,4800,8200,50600,30700,58900,10100,40300,22100,22500,13000,446400,105200,62300,55100,677300,111700,16000,35600,39200,30700,112300,49000,261800,41200,13100,16000,15100,32800,280000,155200,12700,17100,29400,30400,36100,14300,52400,182400,22800,16400,16900,4300,7200,6200,33300,16200,148400,26300,190800,7100,5500,22600,258200,6300,48100,129100,18300,82800,12700,18300,15100,17000,15300,60300,565200,62400,282400,36100
2003,67100,9300,17900,47100,6800,35400,5200,16300,13800,184100,35300,16900,14100,36000,52100,5339100,20000,11100,93400,16800,19900,925000,19300,6900,34700,21700,14000,39300,37500,6200,14700,39800,8200,19500,4800,8100,50800,30600,59100,10000,40200,22200,22600,13200,461900,105800,67100,54500,684300,111700,15900,35500,39000,30600,110700,48900,262900,40900,13100,15900,15100,32600,289000,156700,12800,17000,30000,30100,36000,14300,53100,181600,22700,16600,16800,4300,7000,6200,33200,16000,147500,26100,191000,7100,5500,22500,258700,6200,48100,128900,18400,82200,12700,18100,15100,16900,15100,59700,594400,62600,284700,36400
2004,66800,9200,18000,48900,6800,35200,5200,16200,13800,184400,35500,17000,14000,36100,51900,5321600,20000,11100,95000,16800,20000,928600,19300,6800,34800,21800,14100,39500,37400,6200,14600,41300,8300,19300,4800,8100,50600,30500,59200,10000,40300,22400,22500,13200,475700,106500,72600,54000,694000,112000,15900,35600,38900,30600,110100,49000,263800,40500,13200,15900,15200,32400,295700,157700,12800,17000,30700,30000,36000,14300,53500,181800,22700,16700,16900,4300,7000,6200,33300,15900,147200,26200,191000,7200,5400,22400,259200,6200,47900,129500,18400,82100,12600,17600,15100,16800,15200,59700,622100,63200,286300,36900
2005,66790,9330,17860,49320,6730,35440,5270,16030,13770,186070,35320,17220,13940,36120,51860,5301120,19850,11130,96300,16760,19670,932230,19170,6800,35130,22080,14370,39810,37520,6090,14410,41790,8130,19190,4790,8010,50350,30500,59130,10010,40220,22390,22280,13040,488730,107400,75590,53890,704090,111950,15880,35580,38970,30620,109620,48950,263470,40320,13150,15730,15300,32010,307210,160740,12910,17000,30920,30230,35860,14630,54700,181870,22610,16390,17050,4160,6660,6130,33100,15850,147890,26230,192150,7200,5350,22250,259840,6290,47760,129640,18310,81880,12520,17390,14810,16610,15320,60050,641420,63450,286980,37550
2006,66960,9120,17800,51440,6740,35540,5270,15970,13770,187400,35260,17200,13840,36490,51930,5292290,19770,11170,98830,16880,19680,932990,19150,6720,35010,22170,14370,39890,37460,6110,14250,43860,8150,19100,4720,7890,50190,30400,58720,9940,40270,22590,22390,13280,498640,108920,83970,53570,711270,112470,15780,35740,38780,30400,109170,48760,264780,40390,13080,15490,15220,31930,313940,162870,12980,16940,31520,30330,35720,14570,55470,182280,22730,16490,16820,4160,6580,6090,33080,15730,147940,26250,192790,7130,5300,22180,261290,6340,47530,130480,18320,81770,12440,17320,14820,16490,15230,60030,666680,63350,290650,37990
2007,66360,8880,17920,53050,6620,35260,5220,15760,13800,188650,35020,17100,13630,36280,51590,5278050,19550,11050,100810,16660,19450,931310,18940,6700,34700,21920,14320,39520,37030,5990,13980,45140,8000,18860,4660,7830,49960,30230,57950,9840,40000,22500,22190,13210,508830,109930,92770,52870,714140,112150,15800,35760,38490,30110,108220,48530,264550,40070,13000,15300,15160,31790,318740,164310,13100,16780,31850,29920,35410,14560,55600,181890,22530,16450,16790,4150,6450,6110,32750,15550,148080,26140,192380,7030,5240,21900,260550,6290,47030,131220,18260,80830,12270,17200,14610,16500,14960,59500,679520,64620,294220,38280
2008,66250,8920,17780,53630,6630,35130,5140,15640,13780,188670,34880,17000,13570,36420,51390,5296240,19460,11050,101510,16620,19360,933090,18730,6640,34620,22380,14170,39430,36860,5910,14050,45880,8020,18640,4570,7730,49760,30090,57740,9820,39840,22630,22080,13020,515990,110590,99050,52640,717680,112160,15610,36310,39180,29970,107620,48380,264720,39950,12810,15220,15100,31410,320710,165210,13130,16740,32180,30100,35230,14570,55700,182170,22390,16490,16570,4360,6320,6080,33050,15400,147420,25920,192840,6920,5210,21870,260870,6230,46740,131390,18170,80220,12180,16960,14560,16430,14970,59400,688480,65130,295400,38680
2009,66300,8500,17580,53480,6690,34870,5100,15560,13510,190580,34470,16630,13230,36100,51180,5287960,19550,10740,101870,16180,19100,932640,18420,6500,34670,22390,14000,39320,36590,5620,13960,46310,7960,18270,4540,7550,49680,29280,56920,9610,39380,22610,22000,13310,523730,110620,104400,52420,720820,110960,15410,36060,38150,29530,107070,47380,264780,39370,12670,14890,15050,31130,323380,167880,13030,16350,32770,29600,34740,14480,55490,184650,22310,16640,16220,4240,6140,6090,32810,15580,146850,25670,194170,6660,5170,21790,261850,5880,46480,133240,18130,79170,11960,16860,14300,16100,14780,58960,695860,66060,293750,39170
