County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,68200,67800,67700,67100,66800,66790,66960,66360,66250,66300,67103,67201,67135,67001,66973,66857,66521,66094,65691
Alexander,9600,9500,9500,9300,9200,9330,9120,8880,8920,8500,8238,7992,7719,7236,7082,6761,6457,6302,6060
Bond,17600,17600,17900,17900,18000,17860,17800,17920,17780,17580,17768,17724,17534,17327,17071,16684,16541,16635,16630
Boone,42100,43600,45300,47100,48900,49320,51440,53050,53630,53480,54165,54132,53750,53767,53740,53606,53594,53512,53577
Brown,6900,6900,6800,6800,6800,6730,6740,6620,6630,6690,6937,6879,6888,6863,6833,6748,6627,6611,6556
Bureau,35500,35300,35400,35400,35200,35440,35540,35260,35130,34870,34978,34623,34345,34113,33861,33490,33391,33168,32993
Calhoun,5100,5100,5100,5200,5200,5270,5270,5220,5140,5100,5089,5048,4985,5008,4925,4858,4866,4841,4802
Carroll,16600,16400,16400,16300,16200,16030,15970,15760,15640,15560,15387,15226,15119,14969,14783,14640,14593,14481,14312
Cass,13700,13600,13600,13800,13800,13770,13770,13800,13780,13510,13642,13632,13434,13301,13091,12848,12667,12461,12260
Champaign,179800,179400,181900,184100,184400,186070,187400,188650,188670,190580,201081,203174,204626,206433,207959,209234,209961,210104,209983
Christian,35400,35300,35400,35300,35500,35320,35260,35020,34880,34470,34800,34699,34516,34147,33810,33457,33214,33011,32661
Clark,17000,17000,17000,16900,17000,17220,17200,17100,17000,16630,16335,16200,16258,16095,16046,15869,15860,15809,15596
Clay,14500,14200,14200,14100,14000,13940,13840,13630,13570,13230,13815,13725,13715,13556,13446,13402,13315,13272,13253
Clinton,35500,35600,35800,36000,36100,36120,36490,36280,36420,36100,37762,38023,37912,37727,37644,37660,37592,37607,37639
Coles,53000,52400,52300,52100,51900,51860,51930,51590,51390,51180,53873,53620,53314,53052,52522,52160,51767,51348,50885
Cook,5375600,5350200,5360000,5339100,5321600,5301120,5292290,5278050,5296240,5287960,5194675,5219977,5240505,5254885,5257481,5247662,5228455,5204502,5180493
Crawford,20400,20300,20100,20000,20000,19850,19770,19550,19460,19550,19817,19773,19587,19435,19285,19258,19136,18955,18807
Cumberland,11300,11200,11200,11100,11100,11130,11170,11050,11050,10740,11048,11079,10949,10905,10924,10860,10868,10864,10808
DeKalb,89300,90000,91700,93400,95000,96300,98830,100810,101510,101870,105160,104438,104360,104207,104570,104154,103984,104151,104143
DeWitt,16800,16800,16800,16800,16800,16760,16880,16660,16620,16180,16561,16546,16490,16373,16216,16181,16133,15909,15769
Douglas,19900,19900,20000,19900,20000,19670,19680,19450,19360,19100,19980,19867,19886,19859,19903,19831,19720,19639,19479
DuPage,906600,911800,922000,925000,928600,932230,932990,931310,933090,932640,916924,924852,928823,932519,933820,933965,931680,930662,928589
Edgar,19700,19500,19400,19300,19300,19170,19150,18940,18730,18420,18576,18387,18154,17938,17805,17603,17518,17411,17360
Edwards,7000,6900,6900,6900,6800,6800,6720,6700,6640,6500,6721,6668,6721,6687,6628,6509,6535,6471,6392
Effingham,34300,34400,34600,34700,34800,35130,35010,34700,34620,34670,34242,34265,34270,34215,34119,34209,34186,34147,34208
Fayette,21800,21600,21700,21700,21800,22080,22170,21920,22380,22390,22140,22374,22157,22193,22072,22033,21566,21535,21416
Ford,14200,14100,14100,14000,14100,14370,14370,14320,14170,14000,14081,13878,13878,13672,13539,13526,13346,13317,13264
Franklin,39000,38900,39200,39300,39500,39810,39890,39520,39430,39320,39561,40027,39862,39553,39445,39390,39093,39004,38701
Fulton,38200,37800,37500,37500,37400,37520,37460,37030,36860,36590,37069,36907,36585,36322,35990,35707,35455,35095,34844
Gallatin,6400,6300,6200,6200,6200,6090,6110,5990,5910,5620,5589,5490,5391,5387,5280,5222,5157,5069,5058
Greene,14700,14600,14700,14700,14600,14410,14250,13980,14050,13960,13886,13856,13657,13634,13415,13344,13119,13168,13044
Grundy,37700,38400,39000,39800,41300,41790,43860,45140,45880,46310,50063,50095,50159,50187,50290,50363,50306,50613,50972
Hamilton,8600,8400,8300,8200,8300,8130,8150,8000,8020,7960,8457,8423,8387,8346,8314,8249,8186,8195,8163
Hancock,20100,19900,19700,19500,19300,19190,19100,18860,18640,18270,19104,18997,18828,18544,18324,18215,18203,17973,17844
Hardin,4800,4800,4800,4800,4800,4790,4720,4660,4570,4540,4320,4293,4280,4176,4148,4065,3988,3935,3910
Henderson,8200,8200,8200,8100,8100,8010,7890,7830,7730,7550,7331,7215,7043,6962,7011,6997,6886,6819,6709
Henry,51100,50700,50600,50800,50600,50350,50190,49960,49760,49680,50486,50283,50252,49921,49830,49644,49511,49246,49090
Iroquois,31300,30800,30700,30600,30500,30500,30400,30230,30090,29280,29718,29497,29267,28941,28719,28522,28168,27830,27604
Jackson,59500,58700,58900,59100,59200,59130,58720,57950,57740,56920,60218,60365,59063,59757,59359,59245,58776,57958,57419
Jasper,10100,10100,10100,10000,10000,10010,9940,9840,9820,9610,9698,9753,9671,9606,9633,9628,9576,9540,9611
Jefferson,40000,40100,40300,40200,40300,40220,40270,40000,39840,39380,38827,38749,38658,38647,38377,38290,38247,38111,37820
Jersey,21700,21800,22100,22200,22400,22390,22590,22500,22630,22610,22985,22852,22683,22575,22467,22223,21906,21901,21847
Jo Daviess,22300,22400,22500,22600,22500,22280,22390,22190,22080,22000,22678,22635,22540,22396,22338,22077,21842,21549,21366
Johnson,12900,13200,13000,13200,13200,13040,13280,13210,13020,13310,12582,12854,12860,12868,12890,12780,12457,12425,12456
Kane,407400,426200,446400,461900,475700,488730,498640,508830,515990,523730,515269,519211,520885,522935,526028,529330,531463,533156,534216
Kankakee,103900,104300,105200,105800,106500,107400,108920,109930,110590,110620,113449,113513,112980,112752,111907,111758,111074,110544,110024
Kendall,55200,58300,62300,67100,72600,75590,83970,92770,99050,104400,114736,116813,118257,119594,121413,122937,124592,126272,127915
Knox,55800,55300,55100,54500,54000,53890,53570,52870,52640,52420,52919,52699,52297,52127,51944,51374,50938,50628,50112
Lake,648200,661100,677300,684300,694000,704090,711270,714140,717680,720820,703462,701647,702213,704462,704618,704995,704644,703006,700832
LaSalle,111400,111700,111700,111700,112000,111950,112470,112150,112160,110960,113924,113521,112913,112428,111669,111023,110203,109681,109430
Lawrence,15400,15200,16000,15900,15900,15880,15780,15800,15610,15410,16833,16899,16725,16725,16558,16455,16167,16000,15765
Lee,36000,35900,35600,35500,35600,35580,35740,35760,36310,36060,36031,35597,35207,35116,34904,34515,34482,34511,34223
Livingston,39600,39500,39200,39000,38900,38970,38780,38490,39180,38150,38950,38803,38510,37396,37040,36603,36100,36115,35761
Logan,31200,31000,30700,30600,30600,30620,30400,30110,29970,29530,30305,30269,30357,29821,29656,29270,29153,29015,28925
Macon,114500,113100,112300,110700,110100,109620,109170,108220,107620,107070,110768,110671,110130,109563,108520,107363,106430,105533,104712
Macoupin,49000,48900,49000,48900,49000,48950,48760,48530,48380,47380,47765,47734,47052,46679,46204,45875,45689,45515,45313
Madison,259100,260200,261800,262900,263800,263470,264780,264550,264720,264780,269282,268650,268103,267317,266618,266069,265733,265471,264461
Marion,41700,41400,41200,40900,40500,40320,40390,40070,39950,39370,39437,39140,39009,38672,38558,38366,38055,37821,37620
Marshall,13200,13000,13100,13100,13200,13150,13080,13000,12810,12670,12640,12477,12252,12121,11959,11919,11875,11685,11534
Mason,16000,16000,16000,15900,15900,15730,15490,15300,15220,14890,14666,14469,14320,14144,14102,13861,13673,13688,13565
Massac,15100,15000,15100,15100,15200,15300,15220,15160,15100,15050,15429,15279,15064,14845,14753,14565,14439,14312,14080
McDonough,32900,32700,32800,32600,32400,32010,31930,31790,31410,31130,32612,32511,32550,32246,31792,31430,30875,30323,29955
McHenry,261700,270300,280000,289000,295700,307210,313940,318740,320710,323380,308760,308433,308180,307587,307414,307650,307296,308013,308570
McLean,150800,152000,155200,156700,157700,160740,162870,164310,165210,167880,169572,170893,172718,175045,174121,173160,173140,172845,172828
Menard,12500,12600,12700,12800,12800,12910,12980,13100,13130,13030,12705,12697,12690,12571,12505,12355,12399,12286,12288
Mercer,17000,17000,17100,17000,17000,17000,16940,16780,16740,16350,16434,16316,16163,16075,15900,15744,15599,15623,15601
Monroe,27800,28500,29400,30000,30700,30920,31520,31850,32180,32770,32957,33214,33261,33459,33542,33738,33908,34159,34335
Montgomery,30600,30400,30400,30100,30000,30230,30330,29920,30100,29600,30104,29860,29614,29362,29448,29186,29056,28755,28601
Morgan,36600,36200,36100,36000,36000,35860,35720,35410,35230,34740,35547,35479,35313,34999,34672,34665,34616,34199,33976
Moultrie,14300,14300,14300,14300,14300,14630,14570,14560,14570,14480,14846,14855,14873,14796,14750,14740,14603,14703,14717
Ogle,51200,51700,52400,53100,53500,54700,55470,55600,55700,55490,53497,53070,52786,52279,51949,51573,51162,51032,50923
Peoria,183200,181600,182400,181600,181800,181870,182280,181890,182170,184650,186494,186741,187314,188645,187531,186512,185073,182578,180621
Perry,23100,23000,22800,22700,22700,22610,22730,22530,22390,22310,22350,22262,21844,21714,21540,21516,21391,21297,21174
Piatt,16400,16400,16400,16600,16700,16390,16490,16450,16490,16640,16729,16677,16500,16429,16408,16349,16526,16456,16396
Pike,17300,17100,16900,16800,16900,17050,16820,16790,16570,16220,16430,16346,16233,16071,15955,15792,15738,15672,15611
Pope,4400,4300,4300,4300,4300,4160,4160,4150,4360,4240,4470,4494,4454,4453,4371,4287,4179,4194,4212
Pulaski,7300,7200,7200,7000,7000,6660,6580,6450,6320,6140,6161,5981,5957,5889,5794,5654,5602,5541,5463
Putnam,6100,6100,6200,6200,6200,6130,6090,6110,6080,6090,6006,5975,5910,5854,5832,5728,5714,5718,5740
Randolph,33900,33900,33300,33200,33300,33100,33080,32750,33050,32810,33476,33419,33073,33174,33142,32803,32416,32264,32106
Richland,16100,16000,16200,16000,15900,15850,15730,15550,15400,15580,16233,16189,16133,16007,16018,15953,15822,15848,15763
Rock Island,149100,148300,148400,147500,147200,147890,147940,148080,147420,146850,147546,147462,147699,147688,147090,146284,145230,144293,143477
Saline,26700,26300,26300,26100,26200,26230,26250,26140,25920,25670,24913,24903,24910,24799,24492,24491,24230,24035,23906
Sangamon,189000,189300,190800,191000,191000,192150,192790,192380,192840,194170,197465,199016,199390,199131,199180,198884,198004,196889,195348
Schuyler,7200,7100,7100,7100,7200,7200,7130,7030,6920,6660,7544,7462,7455,7391,7260,7149,7029,6976,6907
